endpoint,variation,iteration,statusCode,responseTime,responseSize,memoryDelta,heapBefore,heapAfter,gcBefore,gcAfter,timestamp
/accounts/12BnVhXxGBZXoq9QAkSv9UtVcdBs1k38yNx6sHUJWasTgYrm/staking-info,,0,200,12516.86,6671,77872,7893832,7971704,7893312,7937232,1758664388923
/accounts/12BnVhXxGBZXoq9QAkSv9UtVcdBs1k38yNx6sHUJWasTgYrm/staking-info,,1,200,12908.97,6671,95632,7907360,8002992,7906840,7938344,1758664402372
/accounts/12BnVhXxGBZXoq9QAkSv9UtVcdBs1k38yNx6sHUJWasTgYrm/staking-info,,2,200,12459.58,6671,97000,7908424,8005424,7907904,7940160,1758664415375
/accounts/12BnVhXxGBZXoq9QAkSv9UtVcdBs1k38yNx6sHUJWasTgYrm/staking-info,?at=27898747,0,200,12441.11,6671,96808,7909544,8006352,7909024,7942080,1758664429874
/accounts/12BnVhXxGBZXoq9QAkSv9UtVcdBs1k38yNx6sHUJWasTgYrm/staking-info,?at=27898747,1,200,195.96,6671,87944,7912056,8000000,7911536,7943280,1758664430610
/accounts/12BnVhXxGBZXoq9QAkSv9UtVcdBs1k38yNx6sHUJWasTgYrm/staking-info,?at=27898747,2,200,182.06,6671,87944,7913472,8001416,7912952,7944696,1758664431316
/accounts/12BnVhXxGBZXoq9QAkSv9UtVcdBs1k38yNx6sHUJWasTgYrm/staking-info,?at=27897747,0,200,12006.74,6671,96808,7913792,8010600,7913272,7946256,1758664445367
/accounts/12BnVhXxGBZXoq9QAkSv9UtVcdBs1k38yNx6sHUJWasTgYrm/staking-info,?at=27897747,1,200,176.57,6671,87944,7916376,8004320,7915856,7948984,1758664446084
/accounts/12BnVhXxGBZXoq9QAkSv9UtVcdBs1k38yNx6sHUJWasTgYrm/staking-info,?at=27897747,2,200,180.86,6671,87944,7919176,8007120,7918656,7950400,1758664446792
