endpoint,variation,iteration,statusCode,responseTime,responseSize,memoryDelta,heapBefore,heapAfter,gcBefore,gcAfter,timestamp
/paras/head/included-candidates,,0,200,532.64,17139,135312,8150200,8285512,8149680,8199232,1758662946140
/paras/head/included-candidates,,1,200,121.40,17139,95176,8158176,8253352,8157656,8200440,1758662946689
/paras/head/included-candidates,,2,200,641.82,23118,102264,8159384,8261648,8158864,8208768,1758662947754
/paras/head/included-candidates,?at=27898479,0,200,400.67,15861,95872,8162616,8258488,8162096,8206848,1758662949585
/paras/head/included-candidates,?at=27898479,1,200,120.39,15861,93864,8165216,8259080,8164696,8206432,1758662950131
/paras/head/included-candidates,?at=27898479,2,200,122.06,15861,93936,8166592,8260528,8166072,8207864,1758662950682
