endpoint,variation,iteration,statusCode,responseTime,responseSize,memoryDelta,heapBefore,heapAfter,gcBefore,gcAfter,timestamp
/runtime/code,,0,200,1358.25,3956890,4542288,8019584,12561872,8019064,12020280,1758664540314
/runtime/code,,1,200,232.61,3956890,4458544,8041064,12499608,8040544,12026000,1758664541073
/runtime/code,,2,200,224.15,3956890,4464360,8047024,12511384,8046504,12039344,1758664541825
/runtime/code,?at=27898747,0,200,1090.06,3956890,4453640,8059840,12513480,8059320,12042576,1758664544964
/runtime/code,?at=27898747,1,200,230.19,3956890,4455016,8063424,12518440,8062904,12096112,1758664545720
/runtime/code,?at=27898747,2,200,222.97,3956890,4442360,8112960,12555320,8112440,12099048,1758664546474
/runtime/code,?at=27897747,0,200,1096.00,3956890,4436792,8119160,12555952,8118640,12100568,1758664549617
/runtime/code,?at=27897747,1,200,228.33,3956890,4446408,8121464,12567872,8120944,12110968,1758664550371
/runtime/code,?at=27897747,2,200,238.14,3956890,4436320,8132024,12568344,8131504,12112328,1758664551139
