endpoint,variation,iteration,statusCode,responseTime,responseSize,memoryDelta,heapBefore,heapAfter,gcBefore,gcAfter,timestamp
/paras,,0,200,569.51,4311,121680,8152216,8273896,8151696,8188592,1758664655177
/paras,,1,200,147.77,4311,80688,8161984,8242672,8161464,8189536,1758664655864
/paras,,2,200,134.54,4311,80528,8163152,8243680,8162632,8190880,1758664656532
/paras,?at=27898747,0,200,410.63,4311,80616,8163944,8244560,8163424,8192880,1758664659001
/paras,?at=27898747,1,200,126.99,4311,80760,8166248,8247008,8165728,8194176,1758664659667
/paras,?at=27898747,2,200,143.97,4311,80704,8167600,8248304,8167080,8195384,1758664660348
