endpoint,variation,iteration,statusCode,responseTime,responseSize,memoryDelta,heapBefore,heapAfter,gcBefore,gcAfter,timestamp
/paras/head/included-candidates,,0,200,713.80,19858,137312,8160488,8297800,8159968,8212472,1758664666634
/paras/head/included-candidates,,1,200,135.00,19858,96296,8179136,8275432,8178616,8222272,1758664667304
/paras/head/included-candidates,,2,200,145.88,19858,96136,8180344,8276480,8179824,8223640,1758664667990
/paras/head/included-candidates,?at=27898747,0,200,140.24,18298,97592,8181152,8278744,8180632,8227992,1758664670186
/paras/head/included-candidates,?at=27898747,1,200,139.49,18298,94776,8185584,8280360,8185064,8227392,1758664670856
/paras/head/included-candidates,?at=27898747,2,200,134.14,18298,94776,8186960,8281736,8186440,8228768,1758664671528
