endpoint,variation,iteration,statusCode,responseTime,responseSize,memoryDelta,heapBefore,heapAfter,gcBefore,gcAfter,timestamp
/blocks/head,,0,200,1296.89,287943,495248,7567976,8063224,7567456,7921072,1758664235874
/blocks/head,,1,200,138.66,287943,419608,7609432,8029040,7608912,7923424,1758664236537
/blocks/head,,2,200,151.16,287943,418664,7611792,8030456,7611272,7924624,1758664237212
/blocks/head,,3,200,138.05,287943,418800,7613144,8031944,7612624,7926264,1758664237871
/blocks/head,?eventDocs=true&extrinsicDocs=true,0,200,288.59,292344,423096,7614144,8037240,7613624,7932680,1758664240198
/blocks/head,?eventDocs=true&extrinsicDocs=true,1,200,138.36,292344,431416,7616592,8048008,7616072,7942240,1758664240863
/blocks/head,?eventDocs=true&extrinsicDocs=true,2,200,148.15,292344,425008,7626240,8051248,7625720,7945424,1758664241538
/blocks/head,?eventDocs=true&extrinsicDocs=true,3,200,996.93,282731,414168,7629480,8043648,7628960,7937456,1758664243057
