endpoint,variation,iteration,statusCode,responseTime,responseSize,memoryDelta,heapBefore,heapAfter,gcBefore,gcAfter,timestamp
/blocks/,27898479/extrinsics-raw,0,200,503.76,164173,313328,7724944,8038272,7724424,7925504,1758662649823
/blocks/,27898479/extrinsics-raw,1,200,155.54,164173,266896,7735736,8002632,7735216,7927544,1758662650400
/blocks/,27898479/extrinsics-raw,2,200,132.49,164173,266784,7737872,8004656,7737352,7929032,1758662650954
/blocks/,27898379/extrinsics-raw,0,200,593.57,168525,277528,7740480,8018008,7739960,7942088,1758662652969
/blocks/,27898379/extrinsics-raw,1,200,130.40,168525,271264,7747952,8019216,7747432,7943536,1758662653524
/blocks/,27898379/extrinsics-raw,2,200,140.60,168525,271088,7749512,8020600,7748992,7945776,1758662654086
/blocks/,27897479/extrinsics-raw,0,200,501.69,134562,236400,7752872,7989272,7752352,7913184,1758662656010
/blocks/,27897479/extrinsics-raw,1,200,129.77,134562,237056,7753120,7990176,7752600,7914552,1758662656563
/blocks/,27897479/extrinsics-raw,2,200,126.40,134562,237304,7754488,7991792,7753968,7916096,1758662657113
/blocks/,27888479/extrinsics-raw,0,200,499.75,156067,257600,7757152,8014752,7756632,7939104,1758662659040
/blocks/,27888479/extrinsics-raw,1,200,126.84,156067,258504,7757520,8016024,7757000,7940456,1758662659590
/blocks/,27888479/extrinsics-raw,2,200,135.37,156067,258632,7758888,8017520,7758368,7941824,1758662660143
/blocks/,1000000/extrinsics-raw,0,200,240.56,833,84552,7761376,7845928,7760856,7787688,1758662661809
/blocks/,1000000/extrinsics-raw,1,200,110.75,833,85448,7761352,7846800,7760832,7789152,1758662662343
/blocks/,1000000/extrinsics-raw,2,200,113.13,833,85520,7762720,7848240,7762200,7790520,1758662662882
/blocks/,5000000/extrinsics-raw,0,200,237.39,2292,86008,7765208,7851216,7764688,7794624,1758662664549
/blocks/,5000000/extrinsics-raw,1,200,146.53,2292,87128,7766760,7853888,7766240,7796016,1758662665118
/blocks/,5000000/extrinsics-raw,2,200,116.19,2292,86904,7768184,7855088,7767664,7797384,1758662665665
