endpoint,variation,iteration,statusCode,responseTime,responseSize,memoryDelta,heapBefore,heapAfter,gcBefore,gcAfter,timestamp
/pallets/nomination-pools/info,,0,200,565.13,441,117808,8171144,8288952,8170624,8203712,1758664677650
/pallets/nomination-pools/info,,1,200,121.03,441,76792,8180960,8257752,8180440,8204680,1758664678308
/pallets/nomination-pools/info,,2,200,119.37,441,76856,8182152,8259008,8181632,8206048,1758664678966
/pallets/nomination-pools/info,?at=27898747,0,200,269.70,441,76768,8182944,8259712,8182424,8208032,1758664681296
/pallets/nomination-pools/info,?at=27898747,1,200,142.63,441,76832,8185296,8262128,8184776,8209264,1758664681981
/pallets/nomination-pools/info,?at=27898747,2,200,116.34,441,76832,8186672,8263504,8186152,8210640,1758664682634
