endpoint,variation,iteration,statusCode,responseTime,responseSize,memoryDelta,heapBefore,heapAfter,gcBefore,gcAfter,timestamp
/paras,,0,200,422.22,4311,122096,8141928,8264024,8141408,8178328,1758662937181
/paras,,1,200,122.85,4311,82328,8149336,8231664,8148816,8179112,1758662937730
/paras,,2,200,118.92,4311,82056,8151096,8233152,8150576,8180600,1758662938277
/paras,?at=27898479,0,200,371.73,4311,81336,8153216,8234552,8152696,8181912,1758662940074
/paras,?at=27898479,1,200,125.07,4311,82232,8153744,8235976,8153224,8183360,1758662940627
/paras,?at=27898479,2,200,119.65,4311,82304,8155096,8237400,8154576,8184712,1758662941173
