endpoint,variation,iteration,statusCode,responseTime,responseSize,memoryDelta,heapBefore,heapAfter,gcBefore,gcAfter,timestamp
/pallets/staking/validators,,0,200,1382.87,152269,284792,8082456,8367248,8081936,8266920,1758662880486
/pallets/staking/validators,,1,200,1146.76,152269,244848,8090736,8335584,8090216,8268024,1758662882051
/pallets/staking/validators,,2,200,170.64,152269,244184,8091936,8336120,8091416,8269384,1758662882642
/pallets/staking/validators,?at=27898479,0,200,1205.16,152269,243768,8094112,8337880,8093592,8270832,1758662885269
/pallets/staking/validators,?at=27898479,1,200,178.05,152269,244248,8094744,8338992,8094224,8272208,1758662885867
/pallets/staking/validators,?at=27898479,2,200,184.10,152269,244248,8096120,8340368,8095600,8273584,1758662886473
/pallets/staking/validators,?metadata=true,0,200,1363.89,152269,243896,8098240,8342136,8097720,8274968,1758662889257
/pallets/staking/validators,?metadata=true,1,200,177.72,152269,244264,8098816,8343080,8098296,8276344,1758662889856
/pallets/staking/validators,?metadata=true,2,200,181.51,152269,244320,8100248,8344568,8099728,8277720,1758662890460
