endpoint,variation,iteration,statusCode,responseTime,responseSize,memoryDelta,heapBefore,heapAfter,gcBefore,gcAfter,timestamp
/accounts/12xtAYsRUrmbniiWQqJtECiBQrMn8AypQcXhnQAc6RB6XkLW/balance-info,,0,200,678.71,356,135064,7862712,7997776,7862192,7901344,1758664353749
/accounts/12xtAYsRUrmbniiWQqJtECiBQrMn8AypQcXhnQAc6RB6XkLW/balance-info,,1,200,247.51,356,84248,7877320,7961568,7876800,7902352,1758664354540
/accounts/12xtAYsRUrmbniiWQqJtECiBQrMn8AypQcXhnQAc6RB6XkLW/balance-info,,2,200,318.96,356,84088,7878568,7962656,7878048,7903760,1758664355398
/accounts/12xtAYsRUrmbniiWQqJtECiBQrMn8AypQcXhnQAc6RB6XkLW/balance-info,,3,200,243.12,356,84088,7879976,7964064,7879456,7905168,1758664356184
/accounts/12xtAYsRUrmbniiWQqJtECiBQrMn8AypQcXhnQAc6RB6XkLW/balance-info,?denominated=true,0,200,246.64,358,84320,7880688,7965008,7880168,7907248,1758664358494
/accounts/12xtAYsRUrmbniiWQqJtECiBQrMn8AypQcXhnQAc6RB6XkLW/balance-info,?denominated=true,1,200,251.19,358,84392,7883216,7967608,7882696,7908672,1758664359292
/accounts/12xtAYsRUrmbniiWQqJtECiBQrMn8AypQcXhnQAc6RB6XkLW/balance-info,?denominated=true,2,200,235.08,358,84336,7884640,7968976,7884120,7909952,1758664360070
/accounts/12xtAYsRUrmbniiWQqJtECiBQrMn8AypQcXhnQAc6RB6XkLW/balance-info,?denominated=true,3,200,257.14,358,84336,7886064,7970400,7885544,7912824,1758664360866
/accounts/12xtAYsRUrmbniiWQqJtECiBQrMn8AypQcXhnQAc6RB6XkLW/balance-info,?at=27898747,0,200,494.76,356,81520,7887768,7969288,7887248,7914088,1758664363412
/accounts/12xtAYsRUrmbniiWQqJtECiBQrMn8AypQcXhnQAc6RB6XkLW/balance-info,?at=27898747,1,200,248.61,356,81544,7890352,7971896,7889832,7915192,1758664364200
/accounts/12xtAYsRUrmbniiWQqJtECiBQrMn8AypQcXhnQAc6RB6XkLW/balance-info,?at=27898747,2,200,249.91,356,81768,7891696,7973464,7891176,7916608,1758664364992
/accounts/12xtAYsRUrmbniiWQqJtECiBQrMn8AypQcXhnQAc6RB6XkLW/balance-info,?at=27898747,3,200,324.91,356,81544,7893112,7974656,7892592,7918024,1758664365860
/accounts/12xtAYsRUrmbniiWQqJtECiBQrMn8AypQcXhnQAc6RB6XkLW/balance-info,?at=27897747,0,200,548.90,356,81888,7893432,7975320,7892912,7919584,1758664368473
/accounts/12xtAYsRUrmbniiWQqJtECiBQrMn8AypQcXhnQAc6RB6XkLW/balance-info,?at=27897747,1,200,252.03,356,81888,7896016,7977904,7895496,7921200,1758664369270
/accounts/12xtAYsRUrmbniiWQqJtECiBQrMn8AypQcXhnQAc6RB6XkLW/balance-info,?at=27897747,2,200,247.99,356,81544,7897704,7979248,7897184,7922616,1758664370059
/accounts/12xtAYsRUrmbniiWQqJtECiBQrMn8AypQcXhnQAc6RB6XkLW/balance-info,?at=27897747,3,200,239.84,356,81544,7899120,7980664,7898600,7924032,1758664370841
