endpoint,variation,iteration,statusCode,responseTime,responseSize,memoryDelta,heapBefore,heapAfter,gcBefore,gcAfter,timestamp
/pallets/staking/validators,,0,200,1485.15,152269,283520,8090936,8374456,8090416,8275704,1758664583938
/pallets/staking/validators,,1,200,211.80,152269,241952,8101040,8342992,8100520,8276592,1758664584679
/pallets/staking/validators,,2,200,1414.12,152269,242368,8102240,8344608,8101720,8278008,1758664586619
/pallets/staking/validators,?at=27898747,0,200,1135.30,152269,242552,8103032,8345584,8102512,8279936,1758664589809
/pallets/staking/validators,?at=27898747,1,200,206.27,152269,241984,8105384,8347368,8104864,8281168,1758664590547
/pallets/staking/validators,?at=27898747,2,200,201.20,152269,242040,8106760,8348800,8106240,8282544,1758664591274
/pallets/staking/validators,?metadata=true,0,200,1486.38,152269,242568,8107160,8349728,8106640,8284144,1758664594803
/pallets/staking/validators,?metadata=true,1,200,209.57,152269,242000,8109512,8351512,8108992,8285304,1758664595536
/pallets/staking/validators,?metadata=true,2,200,217.55,152269,242056,8110888,8352944,8110368,8286680,1758664596286
