endpoint,variation,iteration,statusCode,responseTime,responseSize,memoryDelta,heapBefore,heapAfter,gcBefore,gcAfter,timestamp
/pallets/nomination-pools/info,,0,200,476.70,441,118224,8161696,8279920,8161176,8194288,1758662955588
/pallets/nomination-pools/info,,1,200,116.19,441,78432,8169152,8247584,8168632,8195096,1758662956133
/pallets/nomination-pools/info,,2,200,114.20,441,78160,8170936,8249096,8170416,8196608,1758662956673
/pallets/nomination-pools/info,?at=27898479,0,200,295.89,441,77488,8173056,8250544,8172536,8197960,1758662958400
/pallets/nomination-pools/info,?at=27898479,1,200,112.97,441,78360,8173632,8251992,8173112,8209528,1758662958950
/pallets/nomination-pools/info,?at=27898479,2,200,117.22,441,78432,8183920,8262352,8183400,8209720,1758662959494
