endpoint,variation,iteration,statusCode,responseTime,responseSize,memoryDelta,heapBefore,heapAfter,gcBefore,gcAfter,timestamp
/node/network,,0,200,351.94,402,174360,7206208,7380568,7205688,7270480,1758664216931
/node/network,,1,200,295.68,402,326848,7243504,7570352,7242984,7514368,1758664217756
/node/network,,2,200,303.93,402,128080,7487128,7615208,7486608,7539128,1758664218586
