endpoint,variation,iteration,statusCode,responseTime,responseSize,memoryDelta,heapBefore,heapAfter,gcBefore,gcAfter,timestamp
/accounts/12BnVhXxGBZXoq9QAkSv9UtVcdBs1k38yNx6sHUJWasTgYrm/staking-info,,0,200,11519.80,6671,76880,7903880,7980760,7903360,7947008,1758662718822
/accounts/12BnVhXxGBZXoq9QAkSv9UtVcdBs1k38yNx6sHUJWasTgYrm/staking-info,,1,200,11601.20,6671,97416,7914848,8012264,7914328,7948128,1758662730845
/accounts/12BnVhXxGBZXoq9QAkSv9UtVcdBs1k38yNx6sHUJWasTgYrm/staking-info,,2,200,11661.72,6671,103704,7916256,8019960,7915736,7955984,1758662742931
/accounts/12BnVhXxGBZXoq9QAkSv9UtVcdBs1k38yNx6sHUJWasTgYrm/staking-info,?at=27898479,0,200,11917.64,6671,96576,7925192,8021768,7924672,7957488,1758662756275
/accounts/12BnVhXxGBZXoq9QAkSv9UtVcdBs1k38yNx6sHUJWasTgYrm/staking-info,?at=27898479,1,200,152.08,6671,88904,7925536,8014440,7925016,7958928,1758662756851
/accounts/12BnVhXxGBZXoq9QAkSv9UtVcdBs1k38yNx6sHUJWasTgYrm/staking-info,?at=27898479,2,200,167.03,6671,88976,7926952,8015928,7926432,7960344,1758662757437
/accounts/12BnVhXxGBZXoq9QAkSv9UtVcdBs1k38yNx6sHUJWasTgYrm/staking-info,?at=27897479,0,200,11806.86,6671,96576,7929440,8026016,7928920,7961664,1758662770667
/accounts/12BnVhXxGBZXoq9QAkSv9UtVcdBs1k38yNx6sHUJWasTgYrm/staking-info,?at=27897479,1,200,162.23,6671,88904,7929784,8018688,7929264,7963176,1758662771255
/accounts/12BnVhXxGBZXoq9QAkSv9UtVcdBs1k38yNx6sHUJWasTgYrm/staking-info,?at=27897479,2,200,163.37,6671,88904,7931256,8020160,7930736,7964592,1758662771837
