endpoint,variation,iteration,statusCode,responseTime,responseSize,memoryDelta,heapBefore,heapAfter,gcBefore,gcAfter,timestamp
/blocks/head,,0,200,1202.54,265143,472640,7580928,8053568,7580408,7911024,1758662594265
/blocks/head,,1,200,135.06,265143,397952,7620296,8018248,7619776,7913488,1758662594822
/blocks/head,,2,200,131.21,265143,396856,7622656,8019512,7622136,7914688,1758662595376
/blocks/head,,3,200,132.93,265143,397160,7624008,8021168,7623488,7916328,1758662595933
/blocks/head,?eventDocs=true&extrinsicDocs=true,0,200,838.91,297595,428856,7626856,8055712,7626336,7950264,1758662598195
/blocks/head,?eventDocs=true&extrinsicDocs=true,1,200,134.16,297595,437760,7627064,8064824,7626544,7959912,1758662598750
/blocks/head,?eventDocs=true&extrinsicDocs=true,2,200,124.50,297595,430072,7636712,8066784,7636192,7963152,1758662599297
/blocks/head,?eventDocs=true&extrinsicDocs=true,3,200,128.23,297595,429824,7639952,8069776,7639432,7964792,1758662599846
