endpoint,variation,iteration,statusCode,responseTime,responseSize,memoryDelta,heapBefore,heapAfter,gcBefore,gcAfter,timestamp
/runtime/code,,0,200,1269.82,3956890,4533288,8020560,12553848,8020040,12021416,1758662845879
/runtime/code,,1,200,198.11,3956890,4481168,8040168,12521336,8039648,12021832,1758662846501
/runtime/code,,2,200,206.80,3956890,4486032,8041176,12527208,8040656,12035040,1758662847127
/runtime/code,?at=27898479,0,200,1000.84,3956890,4481312,8055184,12536496,8054664,12052992,1758662849547
/runtime/code,?at=27898479,1,200,214.59,3956890,4476912,8071464,12548376,8070944,12090928,1758662850182
/runtime/code,?at=27898479,2,200,216.80,3956890,4466128,8106960,12573088,8106440,12101744,1758662850821
/runtime/code,?at=27897479,0,200,1011.82,3956890,4427176,8121464,12548640,8120944,12112424,1758662853254
/runtime/code,?at=27897479,1,200,207.18,3956890,4462704,8130864,12593568,8130344,12108408,1758662853882
/runtime/code,?at=27897479,2,200,205.30,3956890,4458488,8127504,12585992,8126984,12104736,1758662854511
